age,income,education_level,years_experience,monthly_spending,purchased
22,3200,SMA,1,500,0
25,4500,D3,2,650,0
28,5200,S1,4,700,0
30,6100,S1,5,850,1
33,7200,S1,7,920,1
35,8000,S2,8,980,1
38,9000,S1,10,1100,1
40,9500,S2,12,1200,1
42,10000,S1,13,1250,1
45,11000,S2,15,1400,1
23,3400,SMA,1,480,0
27,4800,D3,3,640,0
29,5600,S1,4,720,0
31,6300,S1,6,860,1
34,7600,S2,7,940,1
36,8300,S1,9,1000,1
39,9100,S2,11,1120,1
41,9800,S1,12,1180,1
44,10500,S2,14,1300,1
47,11500,S1,16,1500,1
24,3600,SMA,2,510,0
26,4700,D3,3,630,0
32,6500,S1,6,870,1
37,8600,S1,9,1020,1
43,9900,S2,13,1240,1
