age,income,education,experience,credit_score,purchased
25,30000,High School,1,650,0
30,35000,Bachelor,3,680,0
35,40000,Bachelor,5,700,1
40,45000,Master,7,720,1
45,50000,Master,9,750,1
50,55000,PhD,11,780,1
28,32000,High School,2,660,0
32,38000,Bachelor,4,690,1
38,42000,Bachelor,6,710,1
42,48000,Master,8,730,1
48,52000,Master,10,760,1
52,60000,PhD,12,790,1
26,31000,High School,1,655,0
31,36000,Bachelor,3,685,0
36,41000,Bachelor,5,705,1
41,46000,Master,7,725,1
46,51000,Master,9,755,1
51,56000,PhD,11,785,1
27,33000,High School,2,665,0
33,39000,Bachelor,4,695,1
39,43000,Bachelor,6,715,1
43,49000,Master,8,735,1
49,53000,Master,10,765,1
53,61000,PhD,12,795,1
24,29000,High School,0,645,0
29,34000,High School,2,670,0
34,40000,Bachelor,5,705,1
44,47000,Master,7,728,1
47,50000,Master,9,752,1
54,62000,PhD,13,800,1
22,28000,High School,0,640,0
28,33000,High School,2,665,0
38,42000,Bachelor,6,708,1
43,48000,Master,8,732,1
48,52000,Master,10,758,1
55,63000,PhD,13,805,1
26,32000,Bachelor,3,675,0
35,39000,Bachelor,5,700,1
40,44000,Master,7,722,1
45,49000,Master,9,750,1
50,54000,Master,11,780,1
56,64000,PhD,14,810,1
23,27000,High School,0,630,0
30,36000,Bachelor,3,685,1
37,41000,Bachelor,5,703,1
42,47000,Master,7,727,1
49,51000,Master,10,760,1
57,65000,PhD,14,815,1
25,31000,Bachelor,2,670,0
32,38000,Bachelor,4,692,1
39,43000,Master,6,712,1
44,50000,Master,8,738,1
51,55000,Master,11,768,1
58,66000,PhD,15,820,1
